Component #1,Component #2,Component #3,x1,x2,x3,T /K,Density /g/cm^3
L-MENTHOL,DECANOIC ACID,-,0.667,0.133,-,413.15,0.806
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,413.15,0.8083
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,413.15,0.811
L-MENTHOL,OCTANOIC ACID,-,0.25,0.75,-,413.15,0.8112
L-MENTHOL,1-DODECANOL,-,0.333,0.667,-,293.15,0.8206
L-MENTHOL,DECANOIC ACID,-,0.667,0.133,-,393.15,0.8219
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,393.15,0.8247
L-MENTHOL,OCTANOIC ACID,-,0.25,0.75,-,393.15,0.8271
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,393.15,0.8275
L-MENTHOL,1-DECANOL,-,0.667,0.333,-,353.15,0.829
TETRAHEPTYLAMMONIUM CHLORIDE,OLEIC ACID,-,0.333,0.667,-,343.15,0.834
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,373.15,0.8353
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,373.15,0.8355
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,373.15,0.8359
L-MENTHOL,1-DECANOL,-,0.667,0.333,-,343.15,0.837
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,373.15,0.8372
L-MENTHOL,DECANOIC ACID,-,0.667,0.133,-,373.15,0.8376
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,368.15,0.8393
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,368.15,0.8396
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,373.15,0.8397
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,368.15,0.8398
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,373.15,0.8402
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,368.15,0.841
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,373.15,0.8422
L-MENTHOL,1-OCTANOL,-,0.333,0.667,-,293.15,0.8428
L-MENTHOL,OCTANOIC ACID,-,0.25,0.75,-,373.15,0.8429
TETRAHEPTYLAMMONIUM CHLORIDE,OLEIC ACID,-,0.333,0.667,-,328.15,0.843
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,363.15,0.8433
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,363.15,0.8436
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,368.15,0.8437
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,363.15,0.8438
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,373.15,0.8439
L-MENTHOL,1-DECANOL,-,0.667,0.333,-,333.15,0.844
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,363.15,0.8447
L-MENTHOL,DECANOIC ACID,-,0.667,0.133,-,363.15,0.8453
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,368.15,0.8462
L-MENTHOL,1-HEXANOL,-,0.333,0.667,-,293.15,0.8466
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,358.15,0.8472
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,358.15,0.8475
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,363.15,0.8476
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,358.15,0.8476
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,363.15,0.8483
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,358.15,0.8485
DECANOIC ACID,1-OCTANOL,-,0.333,0.667,-,298.15,0.8489
L-MENTHOL,1-DECANOL,-,0.333,0.667,-,293.15,0.849
TRIOCTYLPHOSPHINE OXIDE,LAURIC ACID,-,0.5,0.5,-,343.15,0.8496
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,363.15,0.8502
L-MENTHOL,OCTANOIC ACID,-,0.25,0.75,-,363.15,0.8508
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,353.15,0.8511
TRIOCTYLPHOSPHINE OXIDE,DECANOIC ACID,-,0.5,0.5,-,343.15,0.8512
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,353.15,0.8513
