TZVP,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60
(3R.4S.5S)-OXANE-2.3.4.5-TETROL,0,0,0,0,0,0,0,0,0,0.094,0.848,2.128,2.472,2.602,3.743,4,2.959,2.122,1.986,2.172,2.308,2.766,3.946,6.664,10.132,10.854,8.015,5.59,5.826,6.113,4.789,3.67,3.378,2.936,2.407,2.049,2.279,2.945,3.583,3.94,4.011,4.677,5.597,6.016,5.982,5.744,4.917,2.948,0.963,0.111,0,0,0,0,0,0,0,0,0,0,0
(R)-MANDELIC ACID,0,0,0,0,0,0,0,0,0.168,0.797,1.732,2.463,2.307,1.557,1.431,1.85,1.745,1.05,0.863,1.055,1.028,2.54,6.771,10.839,11.154,8.856,7.485,7.431,6.727,5.194,4.86,6.046,7.368,8.165,10.235,12.66,9.777,4.114,2.162,2.462,3.079,4.329,4.841,4.541,3.874,2.458,1.632,1.364,0.636,0.105,0,0,0,0,0,0,0,0,0,0,0
(TERT-BUTYL)(2-HYDROXYETHYL)AMMONIUM CHLORIDE,0,0,0,0,0,0,0,0.052,0.193,0.635,1.246,1.864,2.476,2.36,1.782,1.557,1.252,0.738,0.944,2.121,3.794,5.321,7.371,11.165,14.661,15.503,13.317,10.375,9.02,10.465,12.69,9.658,3.925,1.155,0.583,0.606,0.666,0.821,0.934,1.124,1.716,2.188,2.448,3.51,5.339,9.231,12.535,8.728,2.434,0.154,0,0,0,0,0,0,0,0,0,0,0
1.1.1.3.3.3-HEXAFLUORO-2-PROPANOL,0,0,0,0,0,0,0,0,0.348,1.145,1.478,1.163,1.087,1.28,1.222,1.828,3.032,2.724,1.414,0.747,0.672,0.676,0.442,0.278,0.485,0.989,1.557,2.148,3.075,4.173,8.173,17.104,28.501,29.677,14.993,3.372,1.239,0.788,0.79,1.132,1.589,1.542,1.051,0.529,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.10-PHENANTHROLINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,1.016,5.695,13.643,17.112,13.363,8.926,7.007,6.257,6.951,11.282,17.112,21.881,23.433,17.581,8.927,4.522,2.671,1.195,0.859,1.12,1.205,1.263,1.521,1.394,1.008,1.382,1.609,0.939,0.359,0.647,1.222,1.036,0.638,0.672,0.737,0.481,0.122,0,0,0,0
1.1-DIMETHYLUREA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,0.855,1.823,2.255,2.315,2.426,1.846,0.942,0.907,2.247,5.608,9.696,11.132,9.465,7.446,7.597,8.699,7.804,5.65,3.886,3.007,2.519,1.906,1.583,1.381,1.204,1.09,0.918,1.193,1.633,1.409,1.563,2.658,3.616,3.969,3.301,1.679,0.405,0.024,0,0,0,0,0,0,0,0,0
1.2.4-TRIAZOLE,0,0,0,0,0,0,0,0,0,0.038,0.824,2.045,2.122,1.374,0.905,0.889,0.861,0.897,2.09,3.477,3.682,3.204,2.529,2.105,1.762,1.696,2.204,3.168,4.753,5.732,5.492,4.965,4.363,3.49,2.701,2.074,1.474,1.495,2.36,2.853,2.1,1.629,2.231,2.523,2.071,1.743,1.915,1.838,1.407,1.091,0.613,0.131,0,0,0,0,0,0,0,0,0
1.2-BUTANEDIOL,0,0,0,0,0,0,0,0,0,0,0.004,0.184,0.769,1.111,0.855,1.16,1.847,1.892,1.444,0.882,0.743,1.038,1.391,2.422,5.06,9.293,12.669,13.087,11.227,8.452,7.146,7.536,7.801,6.332,3.194,1.683,1.98,1.708,1.416,1.585,1.35,1.203,1.414,1.733,2.915,3.645,2.755,1.856,1.303,0.599,0.121,0,0,0,0,0,0,0,0,0,0
1.2-DIIODOTETRAFLUOROBENZENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.754,1.994,3.429,2.865,2.961,6.993,13.076,14.244,10.557,8.827,9.38,13.779,19.438,26.701,34.956,26.665,8.402,0.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3.5-TRIFLUORO-2.4.6-TRIIODOBENZENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0.574,1.326,3.319,5.015,2.903,0.892,5.014,13.013,15.968,14.565,12.668,11.116,16.385,21.605,25.277,35.435,31.945,11.738,0.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3-BUTANEDIOL,0,0,0,0,0,0,0,0,0,0,0.06,0.357,0.983,1.192,0.862,0.866,1.032,0.917,0.574,0.446,0.685,0.895,1.092,2.49,6.413,11.229,14.526,14.914,11.771,8.288,6.638,6.378,6.633,4.958,2.542,1.624,1.413,1.283,1.146,1.286,1.567,1.591,1.575,1.732,2.154,2.429,2.224,2.053,2.113,1.545,0.514,0.043,0,0,0,0,0,0,0,0,0
1.3-DIIODOTETRAFLUOROBENZENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0.431,0.946,2.425,3.405,2.163,2.143,6.61,13.324,14.601,11.645,9.832,9.303,13.844,18.804,25.792,35.425,27.507,8.593,0.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3-DIMETHYLUREA,0,0,0,0,0,0,0,0,0,0,0,0,0.191,1.053,2.388,2.679,1.925,1.976,2.169,1.321,0.617,0.608,1.222,3.259,6.584,9.851,10.907,8.986,7.653,9.045,10.327,8.815,5.407,2.704,1.861,1.937,1.655,1.844,2.278,1.646,1.041,1.179,1.342,1.401,1.61,2.064,3.338,4.141,2.989,1.296,0.317,0.016,0,0,0,0,0,0,0,0,0
