Component #1,Component #2,Component #3,x1,x2,x3,T_melting /K
TETRAPROPYLAMMONIUM BROMIDE,BORIC ACID,-,0.5,0.5,-,77.9032
TETRAPROPYLAMMONIUM BROMIDE,BORIC ACID,-,0.398,0.602,-,96.1935
TETRAPROPYLAMMONIUM BROMIDE,BORIC ACID,-,0.3,0.7,-,120.5806
TETRAPROPYLAMMONIUM BROMIDE,BORIC ACID,-,0.198,0.802,-,142.3548
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.435,0.565,-,145.324
TETRAPROPYLAMMONIUM BROMIDE,BORIC ACID,-,0.599,0.401,-,147.5806
TETRAPROPYLAMMONIUM BROMIDE,BORIC ACID,-,0.096,0.904,-,158.9032
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.426,0.574,-,161.942
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.46,0.54,-,163.453
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.416,0.584,-,171.007
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.472,0.528,-,172.518
BUTYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHYLENE GLYCOL,-,0.077,0.923,-,182.51
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.491,0.509,-,183.094
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.407,0.593,-,184.604
RANITIDINE,GLYCEROL,-,0.33,0.67,-,186.15
TETRAPROPYLAMMONIUM BROMIDE,BORIC ACID,-,0.7,0.3,-,186.7742
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHANOLAMINE,-,0.143,0.857,-,187.76
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.505,0.495,-,189.137
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHANOLAMINE,-,0.125,0.875,-,190.7
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.398,0.602,-,193.669
METHYLTRIOCTYLAMMONIUM CHLORIDE,HYDROQUINONE,-,0.5,0.5,-,195.15
TETRABUTYLAMMONIUM BROMIDE,TRIETHANOLAMINE,-,0.25,0.75,-,196.57
TETRAHEPTYLAMMONIUM CHLORIDE,IBUPROFEN,-,0.7,0.3,-,200.33
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.521,0.479,-,201.223
LIDOCAINE,LINOLEIC ACID,-,0.5,0.5,-,202.15
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIFLUOROACETAMIDE,-,0.111,0.889,-,203.86
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIFLUOROACETAMIDE,-,0.111,0.889,-,203.9
PHENFORMIN,GLYCEROL,-,0.333,0.667,-,204.15
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.386,0.614,-,204.245
TETRABUTYLAMMONIUM BROMIDE,DIETHANOLAMINE,-,0.143,0.857,-,205.39
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIFLUOROACETAMIDE,-,0.091,0.909,-,206.11
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIFLUOROACETAMIDE,-,0.067,0.933,-,206.37
THYMOL,HEXYLENE GLYCOL,-,0.667,0.333,-,206.48
METHYLTRIOCTYLAMMONIUM CHLORIDE,4-HYDROXYBENZONITRILE,-,0.667,0.333,-,210.15
METHYLTRIOCTYLAMMONIUM CHLORIDE,4-HYDROXYBENZONITRILE,-,0.333,0.667,-,210.15
METHYLTRIOCTYLAMMONIUM CHLORIDE,ETHYLPARABEN,-,0.333,0.667,-,210.15
METHYLTRIOCTYLAMMONIUM CHLORIDE,4-HYDROXYBENZONITRILE,-,0.5,0.5,-,211.15
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIFLUOROACETAMIDE,-,0.143,0.857,-,211.16
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.53,0.47,-,211.799
LIDOCAINE,DECANOIC ACID,-,0.5,0.5,-,212.15
AMMONIUM THIOCYANATE,GLYCEROL,-,0.25,0.75,-,212.3
AMMONIUM THIOCYANATE,GLYCEROL,-,0.2,0.8,-,213.6
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.37,0.63,-,214.82
BENZYLTRIPROPYLAMMONIUM CHLORIDE,LACTIC ACID,-,0.245,0.755,-,216.279
LIDOCAINE,HEXANOIC ACID,-,0.5,0.5,-,217.15
TETRAPROPYLAMMONIUM BROMIDE,BORIC ACID,-,0.802,0.198,-,218.129
BENZYLTRIPROPYLAMMONIUM CHLORIDE,LACTIC ACID,-,0.199,0.801,-,220.155
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.542,0.458,-,220.863
BENZYLTRIPROPYLAMMONIUM CHLORIDE,LACTIC ACID,-,0.284,0.716,-,221.705
AMMONIUM THIOCYANATE,GLYCEROL,-,0.333,0.667,-,221.8
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.351,0.649,-,222.374
BENZYLTRIPHENYLPHOSPHONIUM CHLORIDE,GLYCEROL,-,0.077,0.923,-,222.88
ZINCCHLORIDE,1-BUTYL-3-METHYLIMIDAZOLIUM CHLORIDE,-,0.5,0.5,-,223.05
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,223.81
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIFLUOROACETAMIDE,-,0.2,0.8,-,223.88
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHYLENE GLYCOL,-,0.167,0.833,-,224.6
LITHIUM HEXAFLUOROPHOSPHATE,N-METHYLACETAMIDE,-,0.158,0.842,-,225.396
AMMONIUM THIOCYANATE,ETHYLENE GLYCOL,-,0.25,0.75,-,225.7
LIDOCAINE,OLEIC ACID,-,0.5,0.5,-,226.15
BENZYLTRIPROPYLAMMONIUM CHLORIDE,LACTIC ACID,-,0.331,0.669,-,226.357
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,226.9
2-(2.2-DIPHENYLACETYL)OXYETHYL-DIETHYLAZANIUM CHLORIDE,UREA,-,0.67,0.33,-,228.15
CHOLINE CHLORIDE,TRIFLUOROACETAMIDE,-,0.29,0.71,-,229.0
CAMPHOR,THYMOL,-,0.5,0.5,-,229.15
CAMPHOR,THYMOL,-,0.508,0.492,-,229.616
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,230.03
TETRABUTYLAMMONIUM CHLORIDE,GLYCEROL,-,0.167,0.833,-,230.37
TETRABUTYLAMMONIUM CHLORIDE,GLYCEROL,-,0.2,0.8,-,230.54
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.547,0.453,-,231.439
TETRABUTYLAMMONIUM CHLORIDE,GLYCEROL,-,0.25,0.75,-,231.51
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.328,0.672,-,232.95
BETAINE,1.1.1.3.3.3-HEXAFLUORO-2-PROPANOL,-,0.333,0.667,-,233.75
AMMONIUM THIOCYANATE,GLYCEROL,-,0.4,0.6,-,234.5
ETHYL(2-HYDROXYETHYL)DIMETHYLAMMONIUM CHLORIDE,UREA,-,0.333,0.667,-,235.15
RANITIDINE,ASPIRIN,-,0.67,0.33,-,236.15
CAMPHOR,THYMOL,-,0.4,0.6,-,236.15
L-CARNITINE,1.1.1.3.3.3-HEXAFLUORO-2-PROPANOL,-,0.286,0.714,-,236.65
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.4,0.6,-,236.65
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,236.71
CHOLINE CHLORIDE,GLYCEROL,-,0.333,0.667,-,237.0
BETAINE,GLYCOLIC ACID,-,0.333,0.667,-,237.15
CHOLINE CHLORIDE,FURFURYL ALCOHOL,-,0.25,0.75,-,237.4
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.167,0.833,-,237.71
BUTYLTRIMETHYLAMMONIUM CHLORIDE,VALERIC ACID,-,0.333,0.667,-,237.84
BENZYL(2-HYDROXYETHYL)DIMETHYLAMMONIUM CHLORIDE,UREA,-,0.67,0.33,-,238.15
BUTYLTRIMETHYLAMMONIUM CHLORIDE,VALERIC ACID,-,0.25,0.75,-,238.19
CAMPHOR,THYMOL,-,0.399,0.601,-,238.236
BUTYLTRIMETHYLAMMONIUM CHLORIDE,VALERIC ACID,-,0.2,0.8,-,238.26
BETAINE,1.1.1.3.3.3-HEXAFLUORO-2-PROPANOL,-,0.25,0.75,-,238.45
CHOLINE CHLORIDE,FURFURYL ALCOHOL,-,0.2,0.8,-,238.6
CHOLINE CHLORIDE,FURFURYL ALCOHOL,-,0.167,0.833,-,239.4
BETAINE,1.1.1.3.3.3-HEXAFLUORO-2-PROPANOL,-,0.286,0.714,-,239.85
BENZYL(2-HYDROXYETHYL)DIMETHYLAMMONIUM CHLORIDE,UREA,-,0.333,0.667,-,240.15
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.333,0.667,-,240.15
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.2,0.8,-,240.15
CAMPHOR,THYMOL,-,0.3,0.7,-,240.15
CHOLINE CHLORIDE,GLYCEROL,-,0.25,0.75,-,240.5
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.56,0.44,-,240.504
