Component #1,Component #2,Component #3,x1,x2,x3,T /K,Viscosity /cP
ETHYLAMMONIUM CHLORIDE,ETHYLENEDIAMINE,-,0.1,0.9,-,313.15,0.004
ETHYLAMMONIUM CHLORIDE,DIETHYLENETRIAMINE,-,0.1,0.9,-,313.15,0.009
ETHYLAMMONIUM CHLORIDE,ETHYLENEDIAMINE,-,0.143,0.857,-,313.15,0.009
ETHYLAMMONIUM CHLORIDE,DIETHYLENETRIAMINE,-,0.143,0.857,-,313.15,0.014
ETHYLAMMONIUM CHLORIDE,ETHANOLAMINE,-,0.1,0.9,-,313.15,0.021
ETHYLAMMONIUM CHLORIDE,ETHANOLAMINE,-,0.143,0.857,-,313.15,0.029
ETHYLAMMONIUM CHLORIDE,TRIETHYLENETETRAMINE,-,0.1,0.9,-,313.15,0.036
ETHYLAMMONIUM CHLORIDE,ETHYLENEDIAMINE,-,0.25,0.75,-,313.15,0.042
ETHYLAMMONIUM CHLORIDE,ETHANOLAMINE,-,0.25,0.75,-,313.15,0.048
ETHYLAMMONIUM CHLORIDE,DIETHYLENETRIAMINE,-,0.25,0.75,-,313.15,0.052
ETHYLAMMONIUM CHLORIDE,TRIETHYLENETETRAMINE,-,0.143,0.857,-,313.15,0.052
L-LYSINE,HEXANOIC ACID,-,0.333,0.667,-,323.15,0.065
ETHYLAMMONIUM CHLORIDE,TETRAETHYLENEPENTAMINE,-,0.1,0.9,-,313.15,0.07
L-LYSINE,HEXANOIC ACID,-,0.333,0.667,-,318.15,0.1
L-HISTIDINE,HEXANOIC ACID,-,0.333,0.667,-,323.15,0.1
ETHYLAMMONIUM CHLORIDE,TETRAETHYLENEPENTAMINE,-,0.143,0.857,-,313.15,0.103
ETHYLAMMONIUM CHLORIDE,ETHANOLAMINE,-,0.5,0.5,-,313.15,0.112
ETHYLAMMONIUM CHLORIDE,ETHYLENEDIAMINE,-,0.5,0.5,-,313.15,0.113
L-ALANINE,HEXANOIC ACID,-,0.333,0.667,-,323.15,0.12
L-HISTIDINE,DECANOIC ACID,-,0.333,0.667,-,323.15,0.12
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.333,0.667,-,363.15,0.13
L-ALANINE,OXALIC ACID,-,0.333,0.667,-,323.15,0.13
ETHYLAMMONIUM CHLORIDE,TRIETHYLENETETRAMINE,-,0.25,0.75,-,313.15,0.134
L-LYSINE,LAURIC ACID,-,0.333,0.667,-,323.15,0.14
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.333,0.667,-,353.15,0.15
L-HISTIDINE,OXALIC ACID,-,0.333,0.667,-,323.15,0.16
L-HISTIDINE,LAURIC ACID,-,0.333,0.667,-,323.15,0.16
L-ALANINE,DECANOIC ACID,-,0.333,0.667,-,323.15,0.17
L-LYSINE,OXALIC ACID,-,0.333,0.667,-,323.15,0.18
L-LYSINE,HEXANOIC ACID,-,0.333,0.667,-,313.15,0.2
L-HISTIDINE,HEXANOIC ACID,-,0.333,0.667,-,318.15,0.2
L-LYSINE,DECANOIC ACID,-,0.333,0.667,-,318.15,0.2
L-CYSTINE,OXALIC ACID,-,0.333,0.667,-,323.15,0.21
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.333,0.667,-,343.15,0.22
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.4,0.6,-,363.15,0.24
L-CYSTINE,HEXANOIC ACID,-,0.333,0.667,-,323.15,0.25
ETHYLAMMONIUM CHLORIDE,TETRAETHYLENEPENTAMINE,-,0.25,0.75,-,313.15,0.257
L-ALANINE,LAURIC ACID,-,0.333,0.667,-,323.15,0.28
L-ALANINE,HEXANOIC ACID,-,0.333,0.667,-,318.15,0.3
L-ALANINE,OXALIC ACID,-,0.333,0.667,-,318.15,0.3
L-HISTIDINE,OXALIC ACID,-,0.333,0.667,-,318.15,0.3
L-HISTIDINE,DECANOIC ACID,-,0.333,0.667,-,318.15,0.3
L-LYSINE,LAURIC ACID,-,0.333,0.667,-,318.15,0.3
L-CYSTINE,DECANOIC ACID,-,0.333,0.667,-,323.15,0.31
L-CYSTINE,LAURIC ACID,-,0.333,0.667,-,323.15,0.31
ETHYLAMMONIUM CHLORIDE,DIETHYLENETRIAMINE,-,0.5,0.5,-,313.15,0.39
L-LYSINE,OXALIC ACID,-,0.333,0.667,-,318.15,0.4
L-ALANINE,DECANOIC ACID,-,0.333,0.667,-,318.15,0.4
L-HISTIDINE,LAURIC ACID,-,0.333,0.667,-,318.15,0.4
